Title,Price,Product link,Image link
5x Acoustic 3.5mm Listen-Only Earpiece for Remote Shoulder Speaker Microphones,$31.99,https://www.ebay.com/itm/285230572617?_skw=earbuds&itmmeta=01M2ME1ZMGEZPYB8ASHW3DFGDT&hash=item4269112449:g:cgwAAOSwT7Jf4PAj&itmprp=enc%3AAQALAAAAwLB2JXbe%2Bh2pdWBqbR2c2Du0cuKtxCp4RR%2Fcc%2B3MgSMxBO5WvyhlUGGYoncIxG5gdZgcUtcp625oSe7sQM85iGVRZkGzA%2FsA4JOIF%2BoN2LtT6LdVQCoI0SqP0Q47%2BFXtusy5IaJdAUD86h%2BeU350xggT1CW0iazjU4TC47q%2BgAQbXZayBk2NhFzBpLzGp9E0ysPUSjTEzYfabLZiFFcV00pYTQTHFw2kRecCH1yV%2FOpmoR5w%2F%2BqCPdImi%2FZ81vSytw%3D%3D%7Ctkp%3ABlBMUNL6h46VaA,https://i.ebayimg.com/images/g/cgwAAOSwT7Jf4PAj/s-l300.webp
"5x D-Shape 3.5mm Listen-Only Earpiece for Motorola, Kenwood Shoulder Speaker Mic",$29.39,https://www.ebay.com/itm/285230572642?_skw=earbuds&itmmeta=01M2ME1ZMGEDT24MT0EDMCBKEM&hash=item4269112462:g:vfwAAeSwcHhoa~Xg&itmprp=enc%3AAQALAAAAwLB2JXbe%2Bh2pdWBqbR2c2DsWYf%2BnFf6vUfbLIwlev3IQ%2BBbJR%2FI46Byht4fNtuMPMtNoIRbUqpat0RSddsjLW%2FETJPPdxleHH35m3WXzv6l809r7kdbz%2FRf7Uv71DsZ7TFthmFVGlmJvisMOB5zTnFNU%2BKmi38OjZbYDA674SNcqWmbhNO20YgLWICC2ZqpHdi%2BB1t0toV9X%2F3uvjxDIx3m2exyTf9lHzolOl2xIZxn1YClgSxn4EJxk2tfvcbKrMw%3D%3D%7Ctkp%3ABlBMUNL6h46VaA,https://i.ebayimg.com/images/g/vfwAAeSwcHhoa~Xg/s-l300.webp
"2x Acoustic 3.5mm Listen-Only Earpiece for Speaker Mics Motorola, Kenwood & More",$19.94,https://www.ebay.com/itm/286907705760?_skw=earbuds&itmmeta=01M2ME1ZMHPS9RYS76GX33K1RS&hash=item42cd0829a0:g:3BkAAeSwULRpA7tx&itmprp=enc%3AAQALAAAAwLB2JXbe%2Bh2pdWBqbR2c2Dve7tXRHTC6SjTl5KZ%2F5cYJkfz%2BLb%2FRsLxLIH0lg5ko51gZ%2FBdpA3BReJ655gDJbvkT5TXdmx7WBM45brbWDFK6DikDM%2BUyRJ1qFw6UC9nCqLEtC9NAEDYkbVgYkxEggWvf3yJj3HiBTA7IF6HY%2F1nykmOjENqCXKsrQydfS%2FS6W1WHkCjnH7U1xnhZxhDyMvIqQ%2F2%2FCsvfjMbtclIAFMKPYCfpIFYb3sUSj%2F0Yim0ANg%3D%3D%7Ctkp%3ABlBMUNL6h46VaA,https://i.ebayimg.com/images/g/3BkAAeSwULRpA7tx/s-l50.webp
For Motorola Two Way Radio Earpiece Headset Mic PTT Surveillance Police CP200D,$13.64,https://www.ebay.com/itm/285230571016?_skw=earbuds&itmmeta=01M2ME1ZMHHBJ2F9EGF1KF4DK7&hash=item4269111e08:g:jNQAAOSwJWBnJRjE&itmprp=enc%3AAQALAAAAwLB2JXbe%2Bh2pdWBqbR2c2DsrC9WItdaRHuYsvlJOdFc5Nx9tAdyk6b8M9jn1S3n8Tw3T6jvMye7YFJ33quPw%2BRHFEd8tZsYmbs192mVFZMSpfXHHFmx8bi6zQvr5tJii9RQ6NTMnws%2FV5lZFgyD1n%2B9zJ6qyrqDpDhQWz38tZ6hv15ZWKq8yMiMnicRI%2FBd9q%2FrQWDQD7LNcft%2BhNIh%2BjPT5inbRiaY%2FgyecB6yK5zQhRiv9bV%2BU6O2RFUkqTdoWnQ%3D%3D%7Ctkp%3ABlBMUNL6h46VaA,https://i.ebayimg.com/images/g/jNQAAOSwJWBnJRjE/s-l50.webp
Wireless Bluetooth Earbuds In-Ear Stereo Earphones Headset Headphones Single,$1.77,https://www.ebay.com/itm/236528884541?_skw=earbuds&itmmeta=01M2ME1ZMHPEN3NMTN9FQPGJZB&hash=item3712385b3d:g:A3AAAeSw2gBpQC6x&itmprp=enc%3AAQALAAAA4LB2JXbe%2Bh2pdWBqbR2c2DugM7bAvQIwNFSPf9d6nLuwiN1I7A9vkGd7e82o%2FxLfPajy%2F1shOhIa%2BrItsudweaBOjExrI5X5%2F9Jnj5gUthvadlOVrxjOTXVspLuRE21nwblQRESf%2Fvws11Pi7n2S7fZuJPu7nHPxyY7pDiz9gd5wvsF%2FpqOGqAzY0eZdBLftLIA5H18PK9Ujb5A0bZNjyz%2B4ySv7RqzL3FKXNKXweOnBMAX2HpHBCceudYvms29pBH6IlHo8svjoBlLsU3szFbOQsuSQfO%2BN7SFTUstY8Sri%7Ctkp%3ABk9SR9T6h46VaA,https://i.ebayimg.com/images/g/A3AAAeSw2gBpQC6x/s-l50.webp
TWS Bluetooth 5.0 Headset Wireless Headphones In-Ear Earbuds Stereo Earphones@,$5.74,https://www.ebay.com/itm/376580652837?_skw=earbuds&itmmeta=01M2ME1ZMH3HTJ8SNF39DT58T0&hash=item57adf4bf25:g:e4wAAeSwT7JozOyh&itmprp=enc%3AAQALAAAA4LB2JXbe%2Bh2pdWBqbR2c2DvT%2Fm5RCFkNZHnCc4Z4JKhN1rjF%2Fw9MFSUWpHFndT7wE8TChUFs%2BZAYceZyF8T45YdXuuY8tA7eaHIHsgxWHCUph9dn8%2F20G4NHpK5A6R8GWcd%2FWfOx2BobsY4aCfKjM9xd1Iw4s1tS6%2FkpErNZS43N%2FuTF4VWCs0TUGy%2FXkatJoXBA6ZUcntGtsnYqygM1Nk8aR6WgjgW%2FpnD%2BmNu%2FL8n%2BUoUKVti7irDD55lefSSHq%2FxeKXg6trgGL%2B1ZJVvoTqn3X4SD22T42Beds18Bi8vB%7Ctkp%3ABk9SR9T6h46VaA,https://i.ebayimg.com/images/g/e4wAAeSwT7JozOyh/s-l50.webp
Wireless Bluetooth Earbuds In-Ear Stereo Earphones Headset Headphones Single~,$1.79,https://www.ebay.com/itm/306646755610?_skw=earbuds&itmmeta=01M2ME1ZMHGQKHD1D76HKRVVWM&hash=item476592291a:g:6TkAAeSwqOJpNXrC&itmprp=enc%3AAQALAAAA4LB2JXbe%2Bh2pdWBqbR2c2Dtdvn7AovqvoQja8J%2F0igV8eMgkN2vLrhTE7Q%2Bpkq6%2BlSfAsWUku6ERWC3KWOZZHbnmGNBn3ov96zEq1eKmEFRgUUY8exdvT6LPMoJzU%2BD%2F46kHXpInHMAaU6YU5T2MvM9egtNg1FvTGaVwTcpdqWfKR8HRo8xJKjlnyPdW0TFNQu79wOzsmtuG%2BqZPFi%2FGHz%2BuKzwkFhvxhVFcm3IXHDBp1RJdB7p1YrM6g67tCLf3OxUuQtrpUvBd0WTJn0xnCdQ040LidG78YpjUDo99K9b%2F%7Ctkp%3ABk9SR9T6h46VaA,https://i.ebayimg.com/images/g/6TkAAeSwqOJpNXrC/s-l50.webp
"headphones, new features , voice cancelation, fast charging and long useable.",$2.91,https://www.ebay.com/itm/287584905444?_skw=earbuds&itmmeta=01M2ME1ZMH7DVJWJ32NX6R7QXS&hash=item42f56568e4:g:PRwAAeSwtLZqp0Z4&itmprp=enc%3AAQALAAAAwLB2JXbe%2Bh2pdWBqbR2c2Dv0SrdpJNbAXut5LbY4r5x0be5GXMlGEBbJSkxnPmqVxX4EF88Agmjo70cXKx1ZsK8LfZdWhFumo9opjlfrMQEpqi3v39TjGIst%2B1YUd%2FsJ1hlBGXL%2BjSFWKic0N9nDqrDKSODob%2BzQ2qI03R%2B%2FA0piu%2FliN4wg%2BOULD4rkj08Qn8NfLybADZnNOw%2FHs3b%2BY9K221ylxeZzQiN%2BtQOnAYlSDyNoVDQbRD85FG5EZZzDpw%3D%3D%7Ctkp%3ABk9SR9T6h46VaA,https://i.ebayimg.com/images/g/PRwAAeSwtLZqp0Z4/s-l50.webp
Wireless Bluetooth Earbuds In-Ear Stereo Earphones Headset Headphones Single,$1.99,https://www.ebay.com/itm/236167684191?_skw=earbuds&itmmeta=01M2ME1ZMH38TF3GC724DJFQ3J&hash=item36fcb0e05f:g:hd0AAOSw0AtoXOi1&itmprp=enc%3AAQALAAAA4LB2JXbe%2Bh2pdWBqbR2c2DtatVUOwFVXYjKHduCUT8WM4Kq%2B9%2B7Mkw5xebqM3pxLs%2B1s99pioJJ82I%2BmiQtcR6ir7f4WwXo3pjk%2BE7oHrR9RJCVgdYcSKpTVNb%2B7mN3yRxQ6eJFsPkdpIiWLEP0ghnMIVjcuXvnfKQYBUTfYDQSQYw5kFRovhWYWXl0JN%2B08sdaokjle0qhhbm75Td666ZiYPW5tTgfZoXNwd2x5ZQHi2OO5DTHRXYah2ZZcFTZFccpvvYpk6Pk0T11oSEyxFn1QuM1ZGXOtHwRG7Cq6w%2FSj%7Ctkp%3ABk9SR9T6h46VaA,https://i.ebayimg.com/images/g/hd0AAOSw0AtoXOi1/s-l50.webp
Ear Buds Earbuds Bluetooth Wireless Air Buds Ear pods HD Headphones LED Headset,$14.79,https://www.ebay.com/itm/317597757285?_skw=earbuds&itmmeta=01M2ME1ZMHX12FJ0D7CQG4Z9VA&hash=item49f24d2f65:g:u7oAAeSwDSJpKXW0&itmprp=enc%3AAQALAAAA4LB2JXbe%2Bh2pdWBqbR2c2DuoMfoUWwt9gGRXHqz96z4a7JqQ5wSfryT3iUn46FpvwrRiEeSqUeoHbsMVrMQDbhmNNANeWi3jr51mTB7foBCjb8R65WHwdwrzw9ZgsMr0Aa0vynG4iL%2FyA8kmnkmPeePbl1DjIvTJrQi6soJh9GfPYBzM4PnLQrO3WSjsKnUVb2lTWojazvTOTFhONZDfIfsEXMfA4z6Ftwc5asgn6l%2BZWXImpaHX%2FOGyEqoBleZr1SalcSS%2FzFlIVTuEVqR4UPKeq4Wfoe1c9QJd%2FwiNauxv%7Ctkp%3ABk9SR9T6h46VaA,https://i.ebayimg.com/images/g/u7oAAeSwDSJpKXW0/s-l50.webp
